Categoria: Todas as categorias

Tempo,familia: (Brasil)
2020-02-06T08,80
2020-02-06T09,84
2020-02-06T10,85
2020-02-06T11,90
2020-02-06T12,85
2020-02-06T13,98
2020-02-06T14,97
2020-02-06T15,90
2020-02-06T16,85
2020-02-06T17,74
2020-02-06T18,79
2020-02-06T19,81
2020-02-06T20,91
2020-02-06T21,90
2020-02-06T22,89
2020-02-06T23,88
2020-02-07T00,93
2020-02-07T01,84
2020-02-07T02,89
2020-02-07T03,82
2020-02-07T04,76
2020-02-07T05,67
2020-02-07T06,65
2020-02-07T07,78
2020-02-07T08,79
2020-02-07T09,75
2020-02-07T10,93
2020-02-07T11,79
2020-02-07T12,77
2020-02-07T13,88
2020-02-07T14,80
2020-02-07T15,78
2020-02-07T16,75
2020-02-07T17,70
2020-02-07T18,74
2020-02-07T19,78
2020-02-07T20,82
2020-02-07T21,84
2020-02-07T22,84
2020-02-07T23,89
2020-02-08T00,97
2020-02-08T01,89
2020-02-08T02,80
2020-02-08T03,84
2020-02-08T04,70
2020-02-08T05,64
2020-02-08T06,63
2020-02-08T07,76
2020-02-08T08,78
2020-02-08T09,76
2020-02-08T10,73
2020-02-08T11,72
2020-02-08T12,74
2020-02-08T13,77
2020-02-08T14,78
2020-02-08T15,80
2020-02-08T16,79
2020-02-08T17,74
2020-02-08T18,71
2020-02-08T19,69
2020-02-08T20,75
2020-02-08T21,86
2020-02-08T22,87
2020-02-08T23,92
2020-02-09T00,96
2020-02-09T01,86
2020-02-09T02,79
2020-02-09T03,73
2020-02-09T04,75
2020-02-09T05,65
2020-02-09T06,73
2020-02-09T07,83
2020-02-09T08,83
2020-02-09T09,87
2020-02-09T10,82
2020-02-09T11,82
2020-02-09T12,80
2020-02-09T13,82
2020-02-09T14,92
2020-02-09T15,88
2020-02-09T16,81
2020-02-09T17,78
2020-02-09T18,78
2020-02-09T19,87
2020-02-09T20,99
2020-02-09T21,96
2020-02-09T22,79
2020-02-09T23,86
2020-02-10T00,100
2020-02-10T01,85
2020-02-10T02,86
2020-02-10T03,78
2020-02-10T04,67
2020-02-10T05,58
2020-02-10T06,61
2020-02-10T07,71
2020-02-10T08,70
2020-02-10T09,77
2020-02-10T10,81
2020-02-10T11,83
2020-02-10T12,79
2020-02-10T13,91
2020-02-10T14,88
2020-02-10T15,85
2020-02-10T16,83
2020-02-10T17,79
2020-02-10T18,74
2020-02-10T19,83
2020-02-10T20,87
2020-02-10T21,95
2020-02-10T22,90
2020-02-10T23,88
2020-02-11T00,92
2020-02-11T01,100
2020-02-11T02,88
2020-02-11T03,85
2020-02-11T04,77
2020-02-11T05,62
2020-02-11T06,71
2020-02-11T07,78
2020-02-11T08,76
2020-02-11T09,81
2020-02-11T10,85
2020-02-11T11,84
2020-02-11T12,79
2020-02-11T13,90
2020-02-11T14,91
2020-02-11T15,88
2020-02-11T16,87
2020-02-11T17,75
2020-02-11T18,75
2020-02-11T19,79
2020-02-11T20,85
2020-02-11T21,86
2020-02-11T22,83
2020-02-11T23,88
2020-02-12T00,88
2020-02-12T01,91
2020-02-12T02,84
2020-02-12T03,82
2020-02-12T04,72
2020-02-12T05,66
2020-02-12T06,73
2020-02-12T07,86
2020-02-12T08,80
2020-02-12T09,83
2020-02-12T10,82
2020-02-12T11,85
2020-02-12T12,85
2020-02-12T13,86
2020-02-12T14,86
2020-02-12T15,83
2020-02-12T16,79
2020-02-12T17,73
2020-02-12T18,80
2020-02-12T19,87
2020-02-12T20,74
2020-02-12T21,66
2020-02-12T22,66
2020-02-12T23,71
2020-02-13T00,80
2020-02-13T01,84
2020-02-13T02,79
2020-02-13T03,81
2020-02-13T04,66
2020-02-13T05,55
2020-02-13T06,59
2020-02-13T07,70
