Categoria: Todas as categorias

Tempo,futebol: (Brasil)
2020-02-05T17,33
2020-02-05T18,40
2020-02-05T19,45
2020-02-05T20,62
2020-02-05T21,89
2020-02-05T22,79
2020-02-05T23,56
2020-02-06T00,33
2020-02-06T01,27
2020-02-06T02,28
2020-02-06T03,28
2020-02-06T04,33
2020-02-06T05,36
2020-02-06T06,33
2020-02-06T07,26
2020-02-06T08,21
2020-02-06T09,19
2020-02-06T10,19
2020-02-06T11,21
2020-02-06T12,23
2020-02-06T13,22
2020-02-06T14,21
2020-02-06T15,26
2020-02-06T16,29
2020-02-06T17,32
2020-02-06T18,35
2020-02-06T19,41
2020-02-06T20,55
2020-02-06T21,71
2020-02-06T22,56
2020-02-06T23,42
2020-02-07T00,37
2020-02-07T01,30
2020-02-07T02,28
2020-02-07T03,31
2020-02-07T04,35
2020-02-07T05,40
2020-02-07T06,37
2020-02-07T07,30
2020-02-07T08,22
2020-02-07T09,20
2020-02-07T10,19
2020-02-07T11,22
2020-02-07T12,23
2020-02-07T13,22
2020-02-07T14,21
2020-02-07T15,21
2020-02-07T16,22
2020-02-07T17,26
2020-02-07T18,26
2020-02-07T19,28
2020-02-07T20,32
2020-02-07T21,37
2020-02-07T22,31
2020-02-07T23,27
2020-02-08T00,27
2020-02-08T01,26
2020-02-08T02,25
2020-02-08T03,24
2020-02-08T04,27
2020-02-08T05,27
2020-02-08T06,29
2020-02-08T07,30
2020-02-08T08,27
2020-02-08T09,28
2020-02-08T10,29
2020-02-08T11,31
2020-02-08T12,36
2020-02-08T13,36
2020-02-08T14,39
2020-02-08T15,48
2020-02-08T16,63
2020-02-08T17,69
2020-02-08T18,80
2020-02-08T19,71
2020-02-08T20,55
2020-02-08T21,45
2020-02-08T22,32
2020-02-08T23,29
2020-02-09T00,30
2020-02-09T01,29
2020-02-09T02,26
2020-02-09T03,25
2020-02-09T04,23
2020-02-09T05,25
2020-02-09T06,33
2020-02-09T07,34
2020-02-09T08,34
2020-02-09T09,34
2020-02-09T10,41
2020-02-09T11,47
2020-02-09T12,54
2020-02-09T13,49
2020-02-09T14,50
2020-02-09T15,65
2020-02-09T16,97
2020-02-09T17,90
2020-02-09T18,87
2020-02-09T19,67
2020-02-09T20,58
2020-02-09T21,61
2020-02-09T22,94
2020-02-09T23,100
2020-02-10T00,83
2020-02-10T01,37
2020-02-10T02,40
2020-02-10T03,43
2020-02-10T04,56
2020-02-10T05,73
2020-02-10T06,59
2020-02-10T07,38
2020-02-10T08,26
2020-02-10T09,21
2020-02-10T10,21
2020-02-10T11,22
2020-02-10T12,25
2020-02-10T13,23
2020-02-10T14,21
2020-02-10T15,20
2020-02-10T16,22
2020-02-10T17,25
2020-02-10T18,29
2020-02-10T19,37
2020-02-10T20,48
2020-02-10T21,46
2020-02-10T22,30
2020-02-10T23,25
2020-02-11T00,24
2020-02-11T01,24
2020-02-11T02,23
2020-02-11T03,22
2020-02-11T04,24
2020-02-11T05,22
2020-02-11T06,22
2020-02-11T07,20
2020-02-11T08,18
2020-02-11T09,18
2020-02-11T10,18
2020-02-11T11,20
2020-02-11T12,22
2020-02-11T13,21
2020-02-11T14,20
2020-02-11T15,21
2020-02-11T16,23
2020-02-11T17,26
2020-02-11T18,33
2020-02-11T19,54
2020-02-11T20,49
2020-02-11T21,43
2020-02-11T22,37
2020-02-11T23,36
2020-02-12T00,24
2020-02-12T01,23
2020-02-12T02,24
2020-02-12T03,22
2020-02-12T04,24
2020-02-12T05,23
2020-02-12T06,23
2020-02-12T07,21
2020-02-12T08,20
2020-02-12T09,18
2020-02-12T10,19
2020-02-12T11,22
2020-02-12T12,24
2020-02-12T13,22
2020-02-12T14,24
2020-02-12T15,28
2020-02-12T16,30
