Categoria: Todas as categorias

Tempo,globo: (Brasil)
2020-02-05T17,52
2020-02-05T18,52
2020-02-05T19,57
2020-02-05T20,66
2020-02-05T21,82
2020-02-05T22,87
2020-02-05T23,95
2020-02-06T00,56
2020-02-06T01,45
2020-02-06T02,39
2020-02-06T03,47
2020-02-06T04,65
2020-02-06T05,94
2020-02-06T06,88
2020-02-06T07,72
2020-02-06T08,56
2020-02-06T09,42
2020-02-06T10,40
2020-02-06T11,42
2020-02-06T12,47
2020-02-06T13,44
2020-02-06T14,39
2020-02-06T15,40
2020-02-06T16,47
2020-02-06T17,48
2020-02-06T18,46
2020-02-06T19,47
2020-02-06T20,50
2020-02-06T21,60
2020-02-06T22,74
2020-02-06T23,66
2020-02-07T00,54
2020-02-07T01,46
2020-02-07T02,37
2020-02-07T03,44
2020-02-07T04,58
2020-02-07T05,84
2020-02-07T06,84
2020-02-07T07,71
2020-02-07T08,57
2020-02-07T09,43
2020-02-07T10,38
2020-02-07T11,42
2020-02-07T12,47
2020-02-07T13,45
2020-02-07T14,41
2020-02-07T15,43
2020-02-07T16,46
2020-02-07T17,48
2020-02-07T18,44
2020-02-07T19,47
2020-02-07T20,47
2020-02-07T21,52
2020-02-07T22,59
2020-02-07T23,50
2020-02-08T00,43
2020-02-08T01,40
2020-02-08T02,35
2020-02-08T03,34
2020-02-08T04,44
2020-02-08T05,58
2020-02-08T06,69
2020-02-08T07,63
2020-02-08T08,55
2020-02-08T09,45
2020-02-08T10,41
2020-02-08T11,39
2020-02-08T12,43
2020-02-08T13,44
2020-02-08T14,42
2020-02-08T15,43
2020-02-08T16,47
2020-02-08T17,53
2020-02-08T18,74
2020-02-08T19,74
2020-02-08T20,66
2020-02-08T21,64
2020-02-08T22,63
2020-02-08T23,51
2020-02-09T00,53
2020-02-09T01,53
2020-02-09T02,50
2020-02-09T03,55
2020-02-09T04,48
2020-02-09T05,60
2020-02-09T06,80
2020-02-09T07,76
2020-02-09T08,68
2020-02-09T09,59
2020-02-09T10,52
2020-02-09T11,51
2020-02-09T12,55
2020-02-09T13,56
2020-02-09T14,54
2020-02-09T15,59
2020-02-09T16,67
2020-02-09T17,70
2020-02-09T18,73
2020-02-09T19,71
2020-02-09T20,74
2020-02-09T21,93
2020-02-09T22,95
2020-02-09T23,79
2020-02-10T00,67
2020-02-10T01,53
2020-02-10T02,44
2020-02-10T03,48
2020-02-10T04,68
2020-02-10T05,99
2020-02-10T06,100
2020-02-10T07,83
2020-02-10T08,66
2020-02-10T09,48
2020-02-10T10,46
2020-02-10T11,47
2020-02-10T12,53
2020-02-10T13,48
2020-02-10T14,44
2020-02-10T15,45
2020-02-10T16,48
2020-02-10T17,50
2020-02-10T18,47
2020-02-10T19,47
2020-02-10T20,49
2020-02-10T21,59
2020-02-10T22,64
2020-02-10T23,70
2020-02-11T00,55
2020-02-11T01,42
2020-02-11T02,35
2020-02-11T03,42
2020-02-11T04,58
2020-02-11T05,82
2020-02-11T06,84
2020-02-11T07,69
2020-02-11T08,57
2020-02-11T09,43
2020-02-11T10,40
2020-02-11T11,42
2020-02-11T12,47
2020-02-11T13,45
2020-02-11T14,39
2020-02-11T15,41
2020-02-11T16,46
2020-02-11T17,47
2020-02-11T18,45
2020-02-11T19,47
2020-02-11T20,52
2020-02-11T21,61
2020-02-11T22,65
2020-02-11T23,58
2020-02-12T00,45
2020-02-12T01,39
2020-02-12T02,35
2020-02-12T03,40
2020-02-12T04,54
2020-02-12T05,81
2020-02-12T06,77
2020-02-12T07,67
2020-02-12T08,53
2020-02-12T09,41
2020-02-12T10,38
2020-02-12T11,42
2020-02-12T12,45
2020-02-12T13,44
2020-02-12T14,40
2020-02-12T15,45
2020-02-12T16,50
