Categoria: Todas as categorias

Tempo,sororidade: (Brasil)
2020-02-05T17,<1
2020-02-05T18,<1
2020-02-05T19,<1
2020-02-05T20,<1
2020-02-05T21,<1
2020-02-05T22,<1
2020-02-05T23,<1
2020-02-06T00,<1
2020-02-06T01,<1
2020-02-06T02,<1
2020-02-06T03,<1
2020-02-06T04,<1
2020-02-06T05,<1
2020-02-06T06,<1
2020-02-06T07,<1
2020-02-06T08,<1
2020-02-06T09,<1
2020-02-06T10,<1
2020-02-06T11,<1
2020-02-06T12,<1
2020-02-06T13,<1
2020-02-06T14,<1
2020-02-06T15,<1
2020-02-06T16,<1
2020-02-06T17,<1
2020-02-06T18,<1
2020-02-06T19,<1
2020-02-06T20,<1
2020-02-06T21,<1
2020-02-06T22,<1
2020-02-06T23,<1
2020-02-07T00,<1
2020-02-07T01,<1
2020-02-07T02,<1
2020-02-07T03,<1
2020-02-07T04,<1
2020-02-07T05,<1
2020-02-07T06,<1
2020-02-07T07,<1
2020-02-07T08,<1
2020-02-07T09,<1
2020-02-07T10,<1
2020-02-07T11,<1
2020-02-07T12,<1
2020-02-07T13,<1
2020-02-07T14,<1
2020-02-07T15,<1
2020-02-07T16,<1
2020-02-07T17,<1
2020-02-07T18,<1
2020-02-07T19,<1
2020-02-07T20,<1
2020-02-07T21,<1
2020-02-07T22,<1
2020-02-07T23,<1
2020-02-08T00,<1
2020-02-08T01,<1
2020-02-08T02,<1
2020-02-08T03,<1
2020-02-08T04,<1
2020-02-08T05,<1
2020-02-08T06,<1
2020-02-08T07,<1
2020-02-08T08,<1
2020-02-08T09,<1
2020-02-08T10,<1
2020-02-08T11,<1
2020-02-08T12,<1
2020-02-08T13,<1
2020-02-08T14,<1
2020-02-08T15,<1
2020-02-08T16,<1
2020-02-08T17,<1
2020-02-08T18,<1
2020-02-08T19,<1
2020-02-08T20,<1
2020-02-08T21,<1
2020-02-08T22,<1
2020-02-08T23,<1
2020-02-09T00,<1
2020-02-09T01,<1
2020-02-09T02,<1
2020-02-09T03,<1
2020-02-09T04,<1
2020-02-09T05,<1
2020-02-09T06,<1
2020-02-09T07,<1
2020-02-09T08,<1
2020-02-09T09,<1
2020-02-09T10,<1
2020-02-09T11,<1
2020-02-09T12,<1
2020-02-09T13,<1
2020-02-09T14,<1
2020-02-09T15,<1
2020-02-09T16,<1
2020-02-09T17,<1
2020-02-09T18,<1
2020-02-09T19,<1
2020-02-09T20,<1
2020-02-09T21,17
2020-02-09T22,100
2020-02-09T23,59
2020-02-10T00,41
2020-02-10T01,28
2020-02-10T02,23
2020-02-10T03,21
2020-02-10T04,17
2020-02-10T05,17
2020-02-10T06,22
2020-02-10T07,21
2020-02-10T08,15
2020-02-10T09,12
2020-02-10T10,11
2020-02-10T11,12
2020-02-10T12,16
2020-02-10T13,12
2020-02-10T14,9
2020-02-10T15,7
2020-02-10T16,7
2020-02-10T17,7
2020-02-10T18,9
2020-02-10T19,12
2020-02-10T20,11
2020-02-10T21,11
2020-02-10T22,83
2020-02-10T23,24
2020-02-11T00,12
2020-02-11T01,10
2020-02-11T02,9
2020-02-11T03,7
2020-02-11T04,7
2020-02-11T05,6
2020-02-11T06,6
2020-02-11T07,6
2020-02-11T08,5
2020-02-11T09,5
2020-02-11T10,4
2020-02-11T11,4
2020-02-11T12,5
2020-02-11T13,4
2020-02-11T14,3
2020-02-11T15,3
2020-02-11T16,3
2020-02-11T17,4
2020-02-11T18,4
2020-02-11T19,4
2020-02-11T20,4
2020-02-11T21,4
2020-02-11T22,5
2020-02-11T23,5
2020-02-12T00,4
2020-02-12T01,4
2020-02-12T02,4
2020-02-12T03,3
2020-02-12T04,3
2020-02-12T05,2
2020-02-12T06,3
2020-02-12T07,3
2020-02-12T08,2
2020-02-12T09,2
2020-02-12T10,7
2020-02-12T11,4
2020-02-12T12,3
2020-02-12T13,3
2020-02-12T14,2
2020-02-12T15,2
2020-02-12T16,2
